Age Group,Crash Type,Count,Representativity
0_to_16,Multiple,1703,7.232036691014098
0_to_16,Single,2377,8.139017291559664
17_to_25,Multiple,5359,22.757771360625107
17_to_25,Single,8412,28.803287108371855
26_to_39,Multiple,5358,22.753524715474775
26_to_39,Single,7006,23.98904297209382
40_to_64,Multiple,6562,27.866485476473585
40_to_64,Single,6853,23.465160075329567
65_to_74,Multiple,2064,8.765075590283676
65_to_74,Single,1949,6.673514809108029
75_or_older,Multiple,2502,10.62510616612876
75_or_older,Single,2608,8.929977743537066
